Tree ID,Tree Type,Genus,Species,Common Name,Canopy Spread,Height,Latitude,Longitude
10146,DECIDUOUS,Quercus,bicolor,Swamp White Oak,19.0,21.0,40.00910444,-105.2725292
10150,DECIDUOUS,Gymnocladus,dioicus,Kentucky Coffeetree,31.0,47.0,40.00913593,-105.2727975
10041,DECIDUOUS,Quercus,rubra,Northern Red Oak,65.0,102.0,40.00888767,-105.2748857
10042,DECIDUOUS,Quercus,rubra,Northern Red Oak,42.0,54.0,40.00877507,-105.2749996
10051,DECIDUOUS,Crataegus,mollis,Hawthorne,18.0,20.0,40.00887024,-105.2754284
10052,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,34.0,68.0,40.0088399,-105.2753071
10055,DECIDUOUS,Sorbus,None,Mountain-ash,7.0,17.0,40.00894038,-105.2752206
10118,DECIDUOUS,Quercus,palustris,Pin Oak,25.0,27.0,40.00895672,-105.2713972
10456,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,10.0,28.0,40.01003153,-105.275527
10285,DECIDUOUS,Acer,saccharinum,Silver Maple,18.0,25.0,40.00961808,-105.2750125
10319,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,24.0,62.0,40.00959138,-105.2744772
10328,DECIDUOUS,Quercus,rubra,Northern Red Oak,40.0,56.0,40.00969183,-105.275427
10329,DECIDUOUS,Tilia,americana,American Linden,35.0,40.0,40.00979183,-105.275269
10345,DECIDUOUS,Gleditsia,triacanthos,Honey Locust,40.0,45.0,40.01035936,-105.2753222
10348,DECIDUOUS,Prunus,None,Flowering fruit trees,16.0,30.0,40.0103547,-105.2750968
10458,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,10.0,20.0,40.01004684,-105.2755822
10464,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,25.0,40.0,40.00950967,-105.2757369
10467,CONIFEROUS,Pinus,nigra,Austrian Pine,16.0,29.0,40.01032476,-105.2760597
10468,CONIFEROUS,Pinus,mugo,Mugo Pine,7.0,5.0,40.0102291,-105.2760614
10472,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,16.0,30.0,40.0103109,-105.2759547
10479,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,15.0,60.0,40.01030592,-105.2757596
10480,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,15.0,50.0,40.01032389,-105.275713
10750,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.009399,-105.2742956
10762,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,20.0,30.0,40.00977326,-105.2762282
10763,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,20.0,30.0,40.00966799,-105.2761499
10771,DECIDUOUS,Fraxinus,pennsylvanica,Green Ash,30.0,35.0,40.00835502,-105.2739823
10776,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.01017593,-105.2742952
10777,DECIDUOUS,Fraxinus,americana,White Ash,15.0,30.0,40.0101509,-105.2742503
10787,DECIDUOUS,Fraxinus,americana,White Ash,12.0,35.0,40.01003371,-105.2740349
10796,DECIDUOUS,Fraxinus,americana,White Ash,15.0,40.0,40.00999893,-105.2738593
10799,DECIDUOUS,Fraxinus,americana,White Ash,15.0,35.0,40.0100355,-105.2737477
10802,DECIDUOUS,Fraxinus,americana,White Ash,15.0,35.0,40.01002627,-105.2735994
11185,DECIDUOUS,Ulmus,americana,American Elm,30.0,85.0,40.00775512,-105.2723714
11679,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,55.0,40.00915054,-105.2737074
14154,DECIDUOUS,Syringa,reticulata,Japanese tree lilac,6.0,6.0,40.00986233,-105.2760194
14155,DECIDUOUS,Cercis,canadensis,Redbud,6.0,6.0,40.00984074,-105.2755459
12342,CONIFEROUS,Pseudotsuga,menziesii,Douglas Fir,20.0,65.0,40.01030714,-105.2725214
12415,CONIFEROUS,Juniperus,None,Juniper,16.0,44.0,40.00963388,-105.2725169
12421,CONIFEROUS,Picea,pungens,Blue Spruce,16.0,50.0,40.00973208,-105.2733052
12424,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,32.0,60.0,40.00986978,-105.2722732
12425,CONIFEROUS,Pinus,ponderosa,Ponderosa Pine,25.0,50.0,40.00992271,-105.2722884
12467,DECIDUOUS,Quercus,rubra,Northern Red Oak,30.0,65.0,40.00891451,-105.2731733
12472,DECIDUOUS,Acer,platanoides,Norway Maple,40.0,28.0,40.00845442,-105.2729688
12474,DECIDUOUS,Quercus,bicolor,Weeping Swamp White Oak,25.0,30.0,40.00833308,-105.2735826
12475,DECIDUOUS,Tilia,americana,American Linden,20.0,30.0,40.00820831,-105.2731262
12479,DECIDUOUS,Ulmus,americana,American Elm,60.0,76.0,40.00796755,-105.2728904
12485,DECIDUOUS,Quercus,macrocarpa,Bur Oak,15.0,20.0,40.00807546,-105.2730072
12493,DECIDUOUS,Quercus,robur,English Oak,10.0,24.0,40.00787329,-105.2733476
12538,CONIFEROUS,Picea,pungens,Blue Spruce,20.0,65.0,40.00847666,-105.2738914
12545,CONIFEROUS,Picea,pungens,Blue Spruce,24.0,60.0,40.00812933,-105.2730364
12614,CONIFEROUS,Juniperus,None,Juniper,15.0,35.0,40.00828824,-105.2740574
12390,DECIDUOUS,Celtis,occidentalis,Common Hackberry,20.0,45.0,40.010254,-105.2722569
12391,DECIDUOUS,Celtis,occidentalis,Common Hackberry,40.0,60.0,40.01027594,-105.2722126
12393,DECIDUOUS,Ulmus,americana,American Elm,30.0,40.0,40.01031071,-105.272616
12898,CONIFEROUS,Juniperus,None,Juniper,16.0,35.0,40.00909082,-105.2734609
